                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1766,                 6.0527,                 1.3247,                0.29223,                0.30606,                0.22234,                  0.194,                 0.5467,                 4.6247,                 1.0048,             0.00010336,             0.00010336,             0.00010336
                      2,                0.69941,                 2.7343,                 1.0151,                0.61344,                0.53931,                0.62614,                0.56653,                0.46399,                 2.6565,                0.89513,             0.00020164,             0.00020164,             0.00020164
                      3,                0.67121,                 2.1362,                 1.0036,                0.69921,                0.68549,                0.74227,                0.66272,                0.47617,                 1.7783,                0.89834,             0.00029147,             0.00029147,             0.00029147
                      4,                0.65922,                 1.7626,                0.98498,                0.69345,                 0.8736,                0.86097,                0.75953,                0.46428,                 1.4617,                0.89237,             0.00028463,             0.00028463,             0.00028463
                      5,                0.64392,                 1.3859,                0.99238,                0.76419,                0.78453,                0.87087,                0.77881,                0.47665,                 1.2502,                0.87201,             0.00027184,             0.00027184,             0.00027184
                      6,                0.63054,                  1.151,                 0.9772,                0.78565,                0.85327,                0.88713,                0.77462,                0.47955,                 1.1239,                0.90885,             0.00025905,             0.00025905,             0.00025905
                      7,                0.61432,                 1.0591,                0.97008,                0.86052,                 0.9132,                0.91259,                0.83531,                0.44739,                 0.8681,                0.89469,             0.00024626,             0.00024626,             0.00024626
                      8,                0.60417,                0.91525,                0.97888,                0.93237,                 0.9284,                  0.964,                0.87281,                0.43635,                0.75342,                0.88766,             0.00023346,             0.00023346,             0.00023346
                      9,                0.57198,                0.75178,                0.96447,                0.90446,                0.94907,                 0.9256,                0.83802,                0.46138,                 0.6736,                0.91067,             0.00022067,             0.00022067,             0.00022067
                     10,                0.56253,                0.71695,                0.94019,                0.93068,                0.84878,                0.95992,                0.86356,                0.42167,                0.73568,                0.87092,             0.00020788,             0.00020788,             0.00020788
                     11,                 0.5476,                0.67861,                0.94131,                0.93809,                 0.9625,                0.94593,                0.86546,                0.39704,                0.52938,                   0.87,             0.00019509,             0.00019509,             0.00019509
                     12,                0.55605,                0.65454,                0.95474,                0.93805,                0.95708,                0.96155,                0.87489,                0.44331,                0.53139,                0.89431,              0.0001823,              0.0001823,              0.0001823
                     13,                0.54679,                0.60258,                 0.9324,                0.92735,                0.96614,                0.93996,                0.85373,                0.47634,                0.51573,                0.89602,             0.00016951,             0.00016951,             0.00016951
                     14,                0.52868,                0.55688,                0.92559,                0.91449,                0.96703,                0.93386,                0.85322,                 0.4394,                 0.5069,                0.87106,             0.00015672,             0.00015672,             0.00015672
                     15,                0.52878,                0.54595,                0.93168,                0.93541,                0.96551,                0.94694,                0.87458,                0.39932,                0.46086,                0.86011,             0.00014393,             0.00014393,             0.00014393
                     16,                0.42946,                0.44974,                0.87765,                0.93984,                0.95757,                0.94099,                0.86858,                0.40164,                0.45177,                 0.8677,             0.00013114,             0.00013114,             0.00013114
                     17,                 0.4194,                0.41097,                0.89076,                0.94388,                0.96544,                0.95796,                0.88106,                0.40171,                0.42308,                0.86181,             0.00011835,             0.00011835,             0.00011835
                     18,                0.41805,                0.39495,                0.87728,                0.93714,                0.96588,                0.94328,                0.87196,                0.38539,                0.41367,                0.85197,             0.00010556,             0.00010556,             0.00010556
                     19,                0.42897,                0.38549,                 0.8859,                0.94821,                0.96701,                0.94707,                0.88053,                0.40562,                0.39597,                0.86593,             9.2766e-05,             9.2766e-05,             9.2766e-05
                     20,                0.41643,                0.36736,                 0.8704,                0.95231,                0.96602,                0.95009,                0.87874,                0.40961,                0.38992,                0.86202,             7.9975e-05,             7.9975e-05,             7.9975e-05
                     21,                0.40506,                  0.355,                0.87619,                0.94573,                 0.9654,                0.95499,                0.88556,                0.38713,                0.38952,                0.84879,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     22,                0.39465,                0.33879,                0.87868,                0.94827,                0.96534,                0.95683,                 0.8845,                0.40018,                0.39197,                0.85296,             5.4393e-05,             5.4393e-05,             5.4393e-05
                     23,                0.38263,                0.32761,                0.87256,                0.94152,                0.96692,                0.95663,                0.89187,                0.38713,                 0.3638,                0.84938,             4.1602e-05,             4.1602e-05,             4.1602e-05
                     24,                0.37945,                0.31687,                0.85841,                0.94547,                0.96594,                0.95503,                0.88466,                 0.3844,                 0.3672,                0.85145,             2.8812e-05,             2.8812e-05,             2.8812e-05
                     25,                0.38035,                0.30465,                0.83927,                0.94484,                0.96581,                0.95647,                0.88459,                0.38515,                0.36283,                0.85121,             1.6021e-05,             1.6021e-05,             1.6021e-05
